seven4,0
seven2,0.84668
ten2,1.0139
six4,1.0626
three2,1.1493
seven1,1.1577
six3,1.2112
one4,1.2339
nine3,1.3305
two4,1.3736
seven3,1.3881
nine5,1.3909
three3,1.4505
five3,1.4527
six2,1.4661
four2,1.4738
ten5,1.5913
eight3,1.6091
five5,1.6535
three5,1.6555
four1,1.672
one5,1.7208
six1,1.7478
ten3,1.8153
seven5,1.8801
five4,1.9181
nine4,1.9236
eight5,1.9336
four5,1.9375
four3,2.0612
one2,2.0718
one3,2.0848
ten1,2.1171
eight2,2.1324
nine2,2.1406
five2,2.154
six5,2.2789
three4,2.2968
nine1,2.3167
four4,2.3642
three1,2.3859
two1,2.3889
five1,2.5138
one1,2.6486
two5,2.7229
two3,22.363
ten4,3.1793
eight4,3.7455
two2,4.144
eight1,6.0634