five4,3769.7
five5,3888.1
five3,4485.7
five2,5103.7
five1,5561.5
one2,6766.1
one4,7280.2
one5,7618.6
nine5,7660.2
nine3,7691.2
nine4,8158.1
ten3,8199
one1,8220.3
ten5,8467.2
one3,8595.7
ten2,8775.8
nine2,8813.7
four5,9019.6
ten4,9160.5
four3,9346.1
nine1,9363.9
four4,9583.5
three2,9791.7
four2,9810.6
ten1,9816.3
three5,10055
seven5,10079
seven4,10428
two5,10529
two1,10645
three3,10709
two2,10789
four1,11416
six5,11512
seven3,11594
two4,11607
three1,11931
seven2,12148
three4,12463
six4,12836
six1,13201
six2,13556
eight4,13969
seven1,14058
eight2,14418
six3,14908
eight3,14979
eight1,15475
two3,16336
eight5,17262